id,neo_reference_id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity_kmph,astronomical,miss_distance_km,miss_distance_lunar,orbiting_body
54244177,54244177,(2022 BR6),26.66,0.0123752784,0.0276719637,False,2024-01-04,73098.6130534572,0.4542370391,67952893.52446672,176.6982082099,Earth
54377575,54377575,(2023 QC2),26.1,0.0160160338,0.0358129403,False,2024-01-04,19363.5674240887,0.4421869191,66150221.23922232,172.0107115299,Earth
54416724,54416724,(2023 XX12),24.76,0.0296862251,0.0663804174,False,2024-01-04,24905.7058657695,0.0568168249,8499675.985202963,22.1017448861,Earth
54416853,54416853,(2023 XS13),24.27,0.037201031,0.0831840342,False,2024-01-04,24856.6146233309,0.1552920913,23231366.08632553,60.4086235157,Earth
54418649,54418649,(2024 AD),28.76,0.0047049496,0.0105205872,False,2024-01-04,35641.5158026425,0.0016221885,242675.944338495,0.6310313265,Earth
54419602,54419602,(2024 AB2),26.83,0.0114433973,0.0255882143,False,2024-01-04,25213.574669802,0.0049740667,744109.783557929,1.9349119463,Earth
54467128,54467128,(2024 QT),27.93,0.0068953287,0.0154184238,False,2024-01-04,21162.834162253,0.2794852184,41810393.36912481,108.7197499576,Earth
3154493,3154493,(2003 JV14),21.39,0.1401376972,0.3133574171,False,2024-01-03,49177.1673871585,0.2621610014,39218727.406507015,101.9806295446,Earth
3440771,3440771,(2008 WZ94),20.26,0.235806068,0.5272783976,True,2024-01-03,51921.2720256358,0.4821520704,72128922.74793005,187.5571553856,Earth
3591759,3591759,(2011 YE40),25.2,0.0242412481,0.0542050786,False,2024-01-03,47099.8219113461,0.1185645923,17737010.465498403,46.1216264047,Earth
3595775,3595775,(2012 AB11),22.32,0.0913177026,0.2041925905,False,2024-01-03,66101.0085197716,0.2870697327,42945020.55338935,111.6701260203,Earth
3605578,3605578,(2012 LJ2),21.7,0.1214940408,0.2716689341,False,2024-01-03,62605.7918647103,0.4856779711,72656389.98248155,188.9287307579,Earth
3645001,3645001,(2013 NT11),19.49,0.3361669212,0.7516920875,False,2024-01-03,136267.5931308216,0.3878716833,58024777.65499457,150.8820848037,Earth
3751529,3751529,(2016 GZ215),21.08,0.1616422833,0.3614431336,False,2024-01-03,13412.6297084999,0.3169592421,47416427.49497433,123.2971451769,Earth
3787600,3787600,(2017 UJ2),30.9,0.0017561232,0.0039268108,False,2024-01-03,20392.71468415,0.2789034507,41723362.16037001,108.4934423223,Earth
3789479,3789479,(2017 WQ1),24.98,0.0268259417,0.0599846292,False,2024-01-03,77947.7941353121,0.3928589898,58770868.08443172,152.8221470322,Earth
3837605,3837605,(2019 AE3),27.4,0.0088014652,0.0196806745,False,2024-01-03,30643.8908800298,0.219831404,32886309.79750948,85.514416156,Earth
3986746,3986746,(2020 BG1),22.08,0.1019893859,0.2280551997,False,2024-01-03,30660.8552813021,0.4392947647,65717561.10127119,170.8856634683,Earth
54048870,54048870,(2020 OU),22.23,0.095182033,0.212833496,False,2024-01-03,35815.2965269734,0.3576520119,53503979.18145465,139.1266326291,Earth
